process,family,lag,radius,candidates,mean_rule_count,mean_dimension,mean_validation_rmse,mean_gaussian_kl,mean_total_kl,mean_certificate
ar2,sparse_tsk,15,1.75,25,1.4,22.4,0.8611559226221503,3.7765110162038305,14.052323450336086,0.1327333124406227
ar2,sparse_tsk,15,2.0,25,1.0,16.0,0.8544919247932796,2.6740886296332125,12.67264219154149,0.12533118149514066
ar2,sparse_tsk,15,2.5,25,1.0,16.0,0.8544919247932796,2.6740886296332125,12.67264219154149,0.12533118149514066
ar2,sparse_tsk,15,3.0,25,1.0,16.0,0.8544919247932796,2.6740886296332125,12.67264219154149,0.12533118149514066
ar2,sparse_tsk,15,4.0,25,1.0,16.0,0.8544919247932796,2.6740886296332125,12.67264219154149,0.12533118149514066
ar2,sparse_tsk,15,5.0,25,1.0,16.0,0.8544919247932796,2.6740886296332125,12.67264219154149,0.12533118149514066
ar2,sparse_tsk,20,1.5,25,4.8,100.8,0.8981489463454081,44.623352285901795,57.25586513393787,0.224937829366101
ar2,sparse_tsk,20,1.75,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
ar2,sparse_tsk,20,2.0,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
ar2,sparse_tsk,20,2.5,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
ar2,sparse_tsk,20,3.0,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
ar2,sparse_tsk,20,4.0,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
