timestamp,aep,comed,dayton,pjme
2014-07-04,12264.9583333333,9715.4166666667,1518.9166666667,29685.3750000000
2014-07-05,12206.2916666667,9856.5416666667,1574.4583333333,27594.6250000000
2014-07-06,12820.0000000000,11389.9166666667,1617.0833333333,29750.5000000000
2014-07-07,15978.6666666667,14997.3333333333,2119.8750000000,39220.5000000000
2014-07-08,16390.5416666667,14124.2500000000,2220.6250000000,41969.5833333333
2014-07-09,15806.7083333333,12626.3333333333,2196.5416666667,38754.3333333333
2014-07-10,15628.4583333333,12268.9583333333,2136.2916666667,37117.2083333333
2014-07-11,15729.9166666667,12173.8333333333,2138.0000000000,36512.1250000000
2014-07-12,15239.9166666667,12010.0833333333,2015.5000000000,35016.9583333333
2014-07-13,15522.5416666667,12466.6250000000,2113.2083333333,35942.9166666667
2014-07-14,16576.8750000000,12606.8750000000,2311.5833333333,39254.6666666667
2014-07-15,15226.5416666667,10921.1250000000,2021.9166666667,38382.2916666667
2014-07-16,14017.6666666667,10867.9166666667,1881.4583333333,35316.7916666667
2014-07-17,14075.7500000000,11205.7916666667,1920.8750000000,33413.7500000000
2014-07-18,13881.4166666667,11792.3750000000,1895.8750000000,32625.8333333333
2014-07-19,12902.1666666667,11078.9583333333,1672.0833333333,30080.5833333333
2014-07-20,13281.4583333333,11084.6666666667,1718.0833333333,30234.1250000000
2014-07-21,16436.6250000000,13897.7916666667,2268.5000000000,35105.6250000000
2014-07-22,17592.2500000000,15519.7083333333,2478.7916666667,37985.6250000000
2014-07-23,16670.1666666667,12957.7500000000,2268.8333333333,41046.5416666667
2014-07-24,14985.0416666667,11417.1666666667,1996.0833333333,35852.6666666667
2014-07-25,14469.5416666667,11115.0416666667,1927.0416666667,33054.0416666667
2014-07-26,14407.0833333333,11803.6250000000,1881.3333333333,31349.3333333333
2014-07-27,14076.2916666667,12329.9583333333,1886.1666666667,34524.8333333333
2014-07-28,14380.0833333333,11200.6250000000,1971.7500000000,36006.8750000000
2014-07-29,13780.9166666667,11529.6666666667,1889.3750000000,31024.3750000000
2014-07-30,14074.3750000000,11834.7500000000,1945.3750000000,30889.5833333333
2014-07-31,14762.7500000000,12347.2916666667,2060.7916666667,33275.9166666667
2014-08-01,14960.3333333333,12549.2083333333,2110.2083333333,33974.0416666667
2014-08-02,13433.5833333333,11462.5000000000,1853.2083333333,29904.2500000000
2014-08-03,13348.1250000000,11692.4583333333,1779.5416666667,29383.3333333333
2014-08-04,15761.5000000000,13464.7083333333,2178.9583333333,35015.8750000000
2014-08-05,15899.9166666667,13061.0416666667,2228.3750000000,37019.5000000000
2014-08-06,15674.1666666667,12526.6250000000,2202.5000000000,34979.5416666667
2014-08-07,15421.8750000000,12452.0833333333,2077.5416666667,33759.1250000000
2014-08-08,14894.7083333333,12702.9166666667,2041.8333333333,32182.1250000000
2014-08-09,14097.1666666667,11759.0833333333,1891.1250000000,30871.6666666667
2014-08-10,14211.1666666667,11284.0833333333,1968.7083333333,31563.3750000000
2014-08-11,15783.8333333333,13163.7500000000,2319.7500000000,34569.5833333333
2014-08-12,15613.2916666667,11490.5833333333,2107.7083333333,33736.2083333333
2014-08-13,14558.0000000000,11610.2500000000,1998.8750000000,34482.0416666667
2014-08-14,14391.5000000000,11416.2083333333,2035.9583333333,31479.2500000000
2014-08-15,14073.9583333333,11164.0833333333,1875.5000000000,29483.9583333333
2014-08-16,13012.3333333333,11245.3750000000,1613.2500000000,27764.4583333333
2014-08-17,13858.2500000000,10516.4583333333,1743.5833333333,29033.0416666667
2014-08-18,15953.2916666667,12695.2916666667,2250.7916666667,32701.0833333333
2014-08-19,16603.1666666667,14067.2916666667,2451.2500000000,34421.2500000000
2014-08-20,16745.6666666667,14384.6250000000,2469.2500000000,35504.0833333333
2014-08-21,16158.7083333333,13820.8750000000,2256.8333333333,35929.7916666667
